Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Richard Barthelmess,ACTOR,The Noose,FALSE,1928,1895-05-09,New York City,Male,White,Straight,Na,http://www.nndb.com/people/137/000068930/
Emil Jannings,ACTOR,The Last Command,TRUE,1928,1884-07-23,"Rorschach, Switzerland",Male,White,Bisexual,Na,/people/738/000063549/
Louise Dresser,ACTRESS,A Ship Comes In,FALSE,1928,1878-10-05,"Evansville, ID",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0237571/
Janet Gaynor,ACTRESS,7th Heaven,TRUE,1928,1906-10-06,"Philadelphia, PA",Female,White,Straight,Na,/people/129/000043000/
Gloria Swanson,ACTRESS,Sadie Thompson,FALSE,1928,1897-03-27,"Chicago, IL",Female,White,Straight,Na,http://www.nndb.com/people/979/000043850/
Lewis Milestone,DIRECTING,Two Arabian Knights,TRUE,1928,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
Ted Wilde,DIRECTING,Speedy,FALSE,1928,1889-12-16,New York City,Male,White,Na,Na,https://www.imdb.com/name/nm0928514/bio/
Frank Borzage,DIRECTING,7th Heaven,TRUE,1928,1894-04-23,"Salt Lake City, UT",Male,White,Straight,Roman Catholic,/people/292/000044160/
Herbert Brenon,DIRECTING,Sorrell and Son,FALSE,1928,1880-01-13,"Dublin, Ireland",Male,White,Straight,Na,https://www.imdb.com/fr/name/nm0107543/?ref_=nv_sr_srsg_0_tt_0_nm_5_in_0_q_herbet%2520brenon
King Vidor,DIRECTING,The Crowd,FALSE,1928,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
George Bancroft,ACTOR,Thunderbolt,FALSE,1929,1882-09-30,"Philadelphia, PA",Male,White,Straight,Na,http://www.nndb.com/people/133/000068926/
Warner Baxter,ACTOR,In Old Arizona,TRUE,1929,1889-03-29,"Columbus, OH",Male,White,Straight,Na,/people/739/000063550/
Chester Morris,ACTOR,Alibi,FALSE,1929,1901-02-16,New York City,Male,White,Straight,Na,http://www.nndb.com/people/455/000135050/
Paul Muni,ACTOR,The Valiant,FALSE,1929,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Lewis Stone,ACTOR,The Patriot,FALSE,1929,1879-11-15,"Worcester, MA",Male,White,Straight,Na,http://www.nndb.com/people/981/000101678/
Ruth Chatterton,ACTRESS,Madame X,FALSE,1929,1893-12-24,New York City,Female,White,Straight,Na,http://www.nndb.com/people/207/000069000/
Betty Compson,ACTRESS,The Barker,FALSE,1929,1897-03-19,"Beaver, UT",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0173993/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_betty%2520comps
Jeanne Eagels,ACTRESS,The Letter,FALSE,1929,1890-06-26,"Kansas City, MS",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0247074/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_jeanne%2520eag
Corinne Griffith,ACTRESS,The Divine Lady,FALSE,1929,1894-11-21,"Texarkana, TX",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0341464/?ref_=nv_sr_srsg_0_tt_0_nm_8_in_0_q_corinne%2520grif
Bessie Love,ACTRESS,The Broadway Melody,FALSE,1929,1898-09-10,"Midland, TX",Female,White,Straight,Na,http://www.nndb.com/people/556/000066358/
Mary Pickford,ACTRESS,Coquette,TRUE,1929,1892-04-08,"Toronto, Ontario, Canada",Female,White,Straight,Na,/people/683/000042557/
Lionel Barrymore,DIRECTING,Madame X,FALSE,1929,1878-04-28,"Philadelphia, PA",Male,White,Straight,Roman Catholic,/people/741/000043612/
Harry Beaumont,DIRECTING,The Broadway Melody,FALSE,1929,1888-02-10,"Abilene, KS",Male,White,Straight,Na,http://www.nndb.com/people/009/000135601/
Irving Cummings,DIRECTING,In Old Arizona,FALSE,1929,1888-10-09,New York City,Male,White,Straight,Na,http://www.nndb.com/people/865/000133466/
Frank Lloyd,DIRECTING,The Divine Lady,TRUE,1929,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Frank Lloyd,DIRECTING,Drag;,FALSE,1929,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Ernst Lubitsch,DIRECTING,The Patriot,FALSE,1929,1892-01-28,"Berlin, Germany",Male,White,Straight,Na,http://www.nndb.com/people/004/000032905/
George Arliss,ACTOR,Disraeli,TRUE,1930,1868-04-10,"London, England",Male,White,Straight,Na,/people/740/000063551/
George Arliss,ACTOR,The Green Goddess,FALSE,1930,1868-04-10,"London, England",Male,White,Straight,Na,/people/740/000063551/
Wallace Beery,ACTOR,The Big House,FALSE,1930,1885-04-01,"Kansas City, MO",Male,White,Straight,Na,/people/976/000043847/
Maurice Chevalier,ACTOR,The Big Pond,FALSE,1930,1888-09-12,"Paris, France",Male,White,Bisexual,Na,http://www.nndb.com/people/950/000043821/
Ronald Colman,ACTOR,Bulldog Drummond,FALSE,1930,1891-02-09,"Richmond, Surrey, England",Male,White,Straight,Na,/people/619/000042493/
Lawrence Tibbett,ACTOR,The Rogue Song,FALSE,1930,1896-11-16,"Baskersfield, CA",Male,White,Straight,Na,https://www.imdb.com/fr/name/nm0862546/?ref_=fn_all_nme_1
Nancy Carroll,ACTRESS,The Devil's Holiday,FALSE,1930,1903-11-19,New York City,Female,White,Straight,Na,http://www.nndb.com/people/710/000135305/
Ruth Chatterton,ACTRESS,Sarah and Son,FALSE,1930,1893-12-24,New York City,Female,White,Straight,Na,http://www.nndb.com/people/207/000069000/
Greta Garbo,ACTRESS,Anna Christie,FALSE,1930,1905-09-18,"Stockholm, Sweden",Female,White,Bisexual,Protestant,http://www.nndb.com/people/224/000022158/
Norma Shearer,ACTRESS,The Divorcee,TRUE,1930,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Norma Shearer,ACTRESS,Their Own Desire,FALSE,1930,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Gloria Swanson,ACTRESS,The Trespasser,FALSE,1930,1897-03-27,"Chicago, IL",Female,White,Straight,Na,http://www.nndb.com/people/979/000043850/
Clarence Brown,DIRECTING,Anna Christie;,FALSE,1930,1890-05-10,"Clinton, MA",Male,White,Straight,Na,http://www.nndb.com/people/336/000078102/
Robert Leonard,DIRECTING,The Divorcee,FALSE,1930,1889-10-07,"Chicago, IL",Male,White,Straight,Jewish,http://www.nndb.com/people/300/000044168/
Ernst Lubitsch,DIRECTING,The Love Parade,FALSE,1930,1892-01-28,"Berlin, Germany",Male,White,Straight,Na,http://www.nndb.com/people/004/000032905/
Lewis Milestone,DIRECTING,All Quiet on the Western Front,TRUE,1930,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
King Vidor,DIRECTING,Hallelujah,FALSE,1930,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
Lionel Barrymore,ACTOR,A Free Soul,TRUE,1931,1878-04-28,"Philadelphia, PA",Male,White,Straight,Roman Catholic,/people/741/000043612/
Jackie Cooper,ACTOR,Skippy,FALSE,1931,1922-09-15,"Los Angeles, CA",Male,White,Straight,Na,http://www.nndb.com/people/918/000022852/
Richard Dix,ACTOR,Cimarron,FALSE,1931,1893-07-18,"St. Paul, MN",Male,White,Straight,Na,http://www.nndb.com/people/975/000136567/
Fredric March,ACTOR,The Royal Family of Broadway,FALSE,1931,1897-08-31,"Racine, WI",Male,White,Straight,Na,/people/255/000043126/
Adolphe Menjou,ACTOR,The Front Page,FALSE,1931,1890-02-18,"Pittsburgh, PA",Male,White,Straight,Na,http://www.nndb.com/people/627/000043498/
Marlene Dietrich,ACTRESS,Morocco,FALSE,1931,1901-12-27,"Berlin, Germany",Female,White,Bisexual,Na,http://www.nndb.com/people/720/000031627/
Marie Dressler,ACTRESS,Min and Bill,TRUE,1931,1868-11-02,"Cobourg, Ontario, Canada",Female,White,Straight,Na,/people/814/000063625/
Irene Dunne,ACTRESS,Cimarron,FALSE,1931,1898-12-20,"Louisville, KY",Female,White,Straight,Na,http://www.nndb.com/people/346/000044214/
Ann Harding,ACTRESS,Holiday,FALSE,1931,1901-08-07,"Fort Sam Houston, TX",Female,White,Straight,Na,http://www.nndb.com/people/150/000140727/
Norma Shearer,ACTRESS,A Free Soul,FALSE,1931,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Wesley Ruggles,DIRECTING,Cimarron,FALSE,1931,1889-06-11,"Los Angeles, CA",Male,White,Straight,Na,http://www.nndb.com/people/953/000133554/
Clarence Brown,DIRECTING,A Free Soul,FALSE,1931,1890-05-10,"Clinton, MA",Male,White,Straight,Na,http://www.nndb.com/people/336/000078102/
Lewis Milestone,DIRECTING,The Front Page,FALSE,1931,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
Josef Von Sternberg,DIRECTING,Morocco,FALSE,1931,1894-05-29,"Vienna, Austria",Male,White,Straight,Na,http://www.nndb.com/people/320/000078086/
Norman Taurog,DIRECTING,Skippy,TRUE,1931,1899-02-23,"Chicago, IL",Male,White,Straight,Na,/people/544/000041421/
Wallace Beery,ACTOR,The Champ,TRUE,1932,1885-04-01,"Kansas City, MO",Male,White,Straight,Na,/people/976/000043847/
Alfred Lunt,ACTOR,The Guardsman,FALSE,1932,1892-08-12,"Milwaukee, WI",Male,White,Straight,Na,http://www.nndb.com/people/661/000107340/
Fredric March,ACTOR,Dr. Jekyll and Mr. Hyde,TRUE,1932,1897-08-31,"Racine, WI",Male,White,Straight,Na,/people/255/000043126/
Marie Dressler,ACTRESS,Emma,FALSE,1932,1868-11-02,"Cobourg, Ontario, Canada",Female,White,Straight,Na,/people/814/000063625/
Lynn Fontanne,ACTRESS,The Guardsman,FALSE,1932,1887-12-06,"London, England",Female,White,Straight,Na,http://www.nndb.com/people/662/000107341/
Helen Hayes,ACTRESS,The Sin of Madelon Claudet,TRUE,1932,1900-10-10,"Washington, DC",Female,White,Straight,Na,/people/908/000031815/
Frank Borzage,DIRECTING,Bad Girl,TRUE,1932,1894-04-23,"Salt Lake City, UT",Male,White,Straight,Roman Catholic,/people/292/000044160/
King Vidor,DIRECTING,The Champ,FALSE,1932,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
Josef Von Sternberg,DIRECTING,Shanghai Express,FALSE,1932,1894-05-29,"Vienna, Austria",Male,White,Straight,Na,http://www.nndb.com/people/320/000078086/
Leslie Howard,ACTOR,Berkeley Square,FALSE,1933,1893-04-03,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/945/000065750/
Charles Laughton,ACTOR,The Private Life of Henry VIII,TRUE,1933,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England",Male,White,Gay,Roman Catholic,/people/884/000042758/
Paul Muni,ACTOR,I Am a Fugitive from a Chain Gang,FALSE,1933,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Katharine Hepburn,ACTRESS,Morning Glory,TRUE,1933,1907-05-12,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
May Robson,ACTRESS,Lady for a Day,FALSE,1933,1858-04-19,"Melbourne, Victoria, Australia",Female,White,Straight,Na,http://www.nndb.com/people/177/000205559/
Diana Wynyard,ACTRESS,Cavalcade,FALSE,1933,1906-01-16,"London, England",Female,White,Straight,Na,http://www.nndb.com/people/519/000278682/
Frank Lloyd,DIRECTING,Cavalcade,TRUE,1933,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Frank Capra,DIRECTING,Lady for a Day,FALSE,1933,1897-05-18,"Bisacquino, Sicily, Italy",Male,White,Straight,Roman Catholic,/people/459/000032363/
George Cukor,DIRECTING,Little Women,FALSE,1933,1899-07-07,New York City,Male,White,Gay,Na,/people/373/000041250/
Clark Gable,ACTOR,It Happened One Night,TRUE,1935,1901-02-01,"Cadiz, OH",Male,White,Straight,Na,/people/156/000027075/
Frank Morgan,ACTOR,The Affairs of Cellini,FALSE,1935,1890-06-01,New York City,Male,White,Straight,Na,http://www.nndb.com/people/373/000110043/
William Powell,ACTOR,The Thin Man,FALSE,1935,1892-07-29,"Pittsburgh, PA",Male,White,Straight,Na,http://www.nndb.com/people/967/000078733/
Claudette Colbert,ACTRESS,It Happened One Night,TRUE,1935,1903-09-13,"Paris, France",Female,White,Straight,Na,/people/935/000043806/
Bette Davis,ACTRESS,Of Human Bondage,FALSE,1935,1908-04-05,"Lowell, MA",Female,White,Straight,Na,/people/457/000026379/
Grace Moore,ACTRESS,One Night of Love,FALSE,1935,1898-12-05,"Slabtown, TN",Female,White,Straight,Na,http://www.nndb.com/people/478/000135073/
Norma Shearer,ACTRESS,The Barretts of Wimpole Street,FALSE,1935,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Frank Capra,DIRECTING,It Happened One Night,TRUE,1935,1897-05-18,"Bisacquino, Sicily, Italy",Male,White,Straight,Roman Catholic,/people/459/000032363/
Victor Schertzinger,DIRECTING,One Night of Love,FALSE,1935,1890-04-08,"Mahanoy City, PA",Male,White,Straight,Na,http://www.nndb.com/people/671/000174149/
W. S. Van Dyke,DIRECTING,The Thin Man,FALSE,1935,1889-03-21,"San Diego, CA",Male,White,Straight,Christian Science,http://www.nndb.com/people/328/000078094/
Clark Gable,ACTOR,Mutiny on the Bounty,FALSE,1936,1901-02-01,"Cadiz, OH",Male,White,Straight,Na,/people/156/000027075/
Charles Laughton,ACTOR,Mutiny on the Bounty,FALSE,1936,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England",Male,White,Gay,Roman Catholic,/people/884/000042758/
Victor McLaglen,ACTOR,The Informer,TRUE,1936,1883-12-11,"Tunbridge Wells, Kent, England",Male,White,Straight,Anglican/Episcopalian,/people/452/000047311/
Paul Muni,ACTOR,Black Fury,FALSE,1936,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Franchot Tone,ACTOR,Mutiny on the Bounty,FALSE,1936,1905-02-27,"Niagara Falls, NY",Male,White,Straight,Na,http://www.nndb.com/people/429/000043300/
Elisabeth Bergner,ACTRESS,Escape Me Never,FALSE,1936,1897-08-22,"Drohobycz, Austria-Hungary",Female,White,Straight,Jewish,http://www.nndb.com/people/295/000354230/
Claudette Colbert,ACTRESS,Private Worlds,FALSE,1936,1903-09-13,"Paris, France",Female,White,Straight,Na,/people/935/000043806/
Bette Davis,ACTRESS,Dangerous,TRUE,1936,1908-04-05,"Lowell, MA",Female,White,Straight,Na,/people/457/000026379/
Katharine Hepburn,ACTRESS,Alice Adams,FALSE,1936,1907-05-12,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
Miriam Hopkins,ACTRESS,Becky Sharp,FALSE,1936,1902-10-18,"Savannah, GA",Female,White,Straight,Na,http://www.nndb.com/people/460/000066262/
Merle Oberon,ACTRESS,The Dark Angel,FALSE,1936,1911-02-19,"Bombay, India",Female,Multiracial,Straight,Na,http://www.nndb.com/people/927/000043798/
Michael Curtiz,DIRECTING,Captain Blood,FALSE,1936,1886-12-24,"Budapest, Hungary",Male,White,Straight,Na,/people/676/000032580/
John Ford,DIRECTING,The Informer,TRUE,1936,1894-02-01,"Cape Elizabeth, ME",Male,White,Bisexual,Roman Catholic,/people/458/000032362/
Henry Hathaway,DIRECTING,The Lives of a Bengal Lancer,FALSE,1936,1898-03-13,"Sacramento, CA",Male,White,Straight,Na,http://www.nndb.com/people/428/000041305/
Frank Lloyd,DIRECTING,Mutiny on the Bounty,FALSE,1936,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Gary Cooper,ACTOR,Mr. Deeds Goes to Town,FALSE,1937,1901-05-07,"Helena, MT",Male,White,Straight,Roman Catholic,/people/740/000031647/
Walter Huston,ACTOR,Dodsworth,FALSE,1937,1884-04-06,"Toronto, Ontario, Canada",Male,White,Straight,Na,/people/122/000063930/
Paul Muni,ACTOR,The Story of Louis Pasteur,TRUE,1937,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
William Powell,ACTOR,My Man Godfrey,FALSE,1937,1892-07-29,"Pittsburgh, PA",Male,White,Straight,Na,http://www.nndb.com/people/967/000078733/
Spencer Tracy,ACTOR,San Francisco,FALSE,1937,1900-04-05,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Mischa Auer,ACTOR IN A SUPPORTING ROLE,My Man Godfrey,FALSE,1937,1905-11-17,"St. Petersburg, Russia",Male,White,Straight,Na,http://www.nndb.com/people/129/000068922/
Walter Brennan,ACTOR IN A SUPPORTING ROLE,Come and Get It,TRUE,1937,1894-07-25,"Swampscott, MA",Male,White,Straight,Na,/people/347/000032251/
Stuart Erwin,ACTOR IN A SUPPORTING ROLE,Pigskin Parade,FALSE,1937,1903-02-14,"Squaw Valley, CA",Male,White,Straight,Na,http://www.nndb.com/people/473/000213831/
Basil Rathbone,ACTOR IN A SUPPORTING ROLE,Romeo and Juliet,FALSE,1937,1892-06-13,"Johannesburg, South Africa",Male,White,Straight,Na,http://www.nndb.com/people/688/000031595/
Akim Tamiroff,ACTOR IN A SUPPORTING ROLE,The General Died at Dawn,FALSE,1937,1899-10-29,"Tiflis, Georgia",Male,White,Straight,Na,http://www.nndb.com/people/752/000168248/
Irene Dunne,ACTRESS,Theodora Goes Wild,FALSE,1937,1898-12-20,"Louisville, KY",Female,White,Straight,Na,http://www.nndb.com/people/346/000044214/
Gladys George,ACTRESS,Valiant Is the Word for Carrie,FALSE,1937,1900-09-13,"Patten, ME",Female,White,Straight,Na,http://www.nndb.com/people/462/000213820/
Carole Lombard,ACTRESS,My Man Godfrey,FALSE,1937,1908-10-06,"Fort Wayne, IN",Female,White,Straight,Bahai,http://www.nndb.com/people/708/000031615/
Luise Rainer,ACTRESS,The Great Ziegfeld,TRUE,1937,1910-01-12,"Dusseldorf, Germany",Female,White,Straight,Jewish,/people/796/000030706/
Norma Shearer,ACTRESS,Romeo and Juliet,FALSE,1937,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Beulah Bondi,ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy,FALSE,1937,1888-05-03,"Chicago, IL",Female,White,Na,Na,http://www.nndb.com/people/241/000130848/
Alice Brady,ACTRESS IN A SUPPORTING ROLE,My Man Godfrey,FALSE,1937,1892-11-02,New York City,Female,White,Straight,Na,/people/079/000063887/
Bonita Granville,ACTRESS IN A SUPPORTING ROLE,These Three,FALSE,1937,1923-02-02,"Chicago, IL",Female,White,Straight,Na,http://www.nndb.com/people/362/000130969/
Maria Ouspenskaya,ACTRESS IN A SUPPORTING ROLE,Dodsworth,FALSE,1937,1876-07-29,"Tula, Russia",Female,White,Na,Na,http://www.nndb.com/people/135/000133733/
Gale Sondergaard,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,TRUE,1937,1899-02-15,"Litchfield, MN",Female,White,Straight,Na,/people/062/000063870/
William Wyler,DIRECTING,Dodsworth,FALSE,1937,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",Male,White,Straight,Na,/people/463/000032367/
Robert Z. Leonard,DIRECTING,The Great Ziegfeld,FALSE,1937,1889-10-07,"Chicago, IL",Male,White,Straight,Jewish,http://www.nndb.com/people/300/000044168/
Frank Capra,DIRECTING,Mr. Deeds Goes to Town,TRUE,1937,1897-05-18,"Bisacquino, Sicily, Italy",Male,White,Straight,Roman Catholic,/people/459/000032363/
Gregory La Cava,DIRECTING,My Man Godfrey,FALSE,1937,1892-03-10,"Towanda, PA",Male,White,Straight,Na,http://www.nndb.com/people/429/000138015/
W. S. Van Dyke,DIRECTING,San Francisco,FALSE,1937,1889-03-21,"San Diego, CA",Male,White,Straight,Christian Science,http://www.nndb.com/people/328/000078094/
Charles Boyer,ACTOR,Conquest,FALSE,1938,1899-08-28,"Figeac, Lot, Midi-Pyrénées, France",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/888/000065693/
Fredric March,ACTOR,A Star Is Born,FALSE,1938,1897-08-31,"Racine, WI",Male,White,Straight,Na,/people/255/000043126/
Robert Montgomery,ACTOR,Night Must Fall,FALSE,1938,1904-05-21,"Beacon, NY",Male,White,Straight,Na,http://www.nndb.com/people/704/000031611/
Paul Muni,ACTOR,The Life of Emile Zola,FALSE,1938,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Spencer Tracy,ACTOR,Captains Courageous,TRUE,1938,1900-04-05,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Ralph Bellamy,ACTOR IN A SUPPORTING ROLE,The Awful Truth,FALSE,1938,1904-06-17,"Chicago, IL",Male,White,Straight,Na,http://www.nndb.com/people/317/000026239/
Thomas Mitchell,ACTOR IN A SUPPORTING ROLE,The Hurricane,FALSE,1938,1892-07-11,"Elizabeth, NJ",Male,White,Straight,Na,/people/116/000063924/
Joseph Schildkraut,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,TRUE,1938,1896-03-22,"Vienna, Austria",Male,White,Straight,Na,/people/115/000063923/
H. B. Warner,ACTOR IN A SUPPORTING ROLE,Lost Horizon,FALSE,1938,1875-10-26,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/199/000205581/
Roland Young,ACTOR IN A SUPPORTING ROLE,Topper,FALSE,1938,1887-11-11,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/278/000130885/
Irene Dunne,ACTRESS,The Awful Truth,FALSE,1938,1898-12-20,"Louisville, KY",Female,White,Straight,Na,http://www.nndb.com/people/346/000044214/
Greta Garbo,ACTRESS,Camille,FALSE,1938,1905-09-18,"Stockholm, Sweden",Female,White,Bisexual,Protestant,http://www.nndb.com/people/224/000022158/
Janet Gaynor,ACTRESS,A Star Is Born,FALSE,1938,1906-10-06,"Philadelphia, PA",Female,White,Straight,Na,/people/129/000043000/
Luise Rainer,ACTRESS,The Good Earth,TRUE,1938,1910-01-12,"Dusseldorf, Germany",Female,White,Straight,Jewish,/people/796/000030706/
Barbara Stanwyck,ACTRESS,Stella Dallas,FALSE,1938,1907-07-16,"Brooklyn, NY",Female,White,Matter of Dispute,Na,http://www.nndb.com/people/766/000026688/
Alice Brady,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,TRUE,1938,1892-11-02,New York City,Female,White,Straight,Na,/people/079/000063887/
Andrea Leeds,ACTRESS IN A SUPPORTING ROLE,Stage Door,FALSE,1938,1914-08-14,"Butte, MT",Female,White,Straight,Na,http://www.nndb.com/people/178/000135770/
Anne Shirley,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,FALSE,1938,1918-04-17,New York City,Female,White,Straight,Na,http://www.nndb.com/people/538/000078304/
Claire Trevor,ACTRESS IN A SUPPORTING ROLE,Dead End,FALSE,1938,1910-03-08,New York City,Female,White,Straight,Na,/people/085/000063893/
Dame May Whitty,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,FALSE,1938,1865-06-19,"Liverpool, England",Female,White,Straight,Na,http://www.nndb.com/people/521/000138107/
Leo McCarey,DIRECTING,The Awful Truth,TRUE,1938,1898-10-03,"Los Angeles, CA",Male,White,Straight,Na,/people/380/000044248/
Sidney Franklin,DIRECTING,The Good Earth,FALSE,1938,1893-03-21,"San Francisco, CA",Male,White,Straight,Na,http://www.nndb.com/people/018/000174493/
William Dieterle,DIRECTING,The Life of Emile Zola,FALSE,1938,1893-07-15,"Ludwigshafen am Rhein, Rhineland-Palatinate, Germany",Male,White,Straight,Na,http://www.nndb.com/people/406/000041283/
Gregory La Cava,DIRECTING,Stage Door,FALSE,1938,1892-03-10,"Towanda, PA",Male,White,Straight,Na,http://www.nndb.com/people/429/000138015/
William Wellman,DIRECTING,A Star Is Born,FALSE,1938,1896-02-29,"Brookline, MA",Male,White,Straight,Na,http://www.nndb.com/people/736/000043607/
Charles Boyer,ACTOR,Algiers,FALSE,1939,1899-08-28,"Figeac, Lot, Midi-Pyrénées, France",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/888/000065693/
James Cagney,ACTOR,Angels with Dirty Faces,FALSE,1939,1899-07-17,"Manhattan, NY",Male,White,Straight,Roman Catholic,/people/798/000024726/
Robert Donat,ACTOR,The Citadel,FALSE,1939,1905-03-18,"Withington, Manchester, England",Male,White,Straight,Na,/people/742/000063553/
Leslie Howard,ACTOR,Pygmalion,FALSE,1939,1893-04-03,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/945/000065750/
Spencer Tracy,ACTOR,Boys Town,TRUE,1939,1900-04-05,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Walter Brennan,ACTOR IN A SUPPORTING ROLE,Kentucky,TRUE,1939,1894-07-25,"Swampscott, MA",Male,White,Straight,Na,/people/347/000032251/
John Garfield,ACTOR IN A SUPPORTING ROLE,Four Daughters,FALSE,1939,1913-03-04,New York City,Male,White,Straight,Jewish,http://www.nndb.com/people/633/000043504/
Gene Lockhart,ACTOR IN A SUPPORTING ROLE,Algiers,FALSE,1939,1891-07-18,"London, Ontario, Canada",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/221/000078984/
Robert Morley,ACTOR IN A SUPPORTING ROLE,Marie Antoinette,FALSE,1939,1908-05-26,"Semley, Wiltshire, England",Male,White,Straight,Na,http://www.nndb.com/people/914/000102608/
Basil Rathbone,ACTOR IN A SUPPORTING ROLE,If I Were King,FALSE,1939,1892-06-13,"Johannesburg, South Africa",Male,White,Straight,Na,http://www.nndb.com/people/688/000031595/
Fay Bainter,ACTRESS,White Banners,FALSE,1939,1891-12-07,"Los Angeles, CA",Female,White,Straight,Na,/people/074/000063882/
Bette Davis,ACTRESS,Jezebel,TRUE,1939,1908-04-05,"Lowell, MA",Female,White,Straight,Na,/people/457/000026379/
Wendy Hiller,ACTRESS,Pygmalion,FALSE,1939,1912-08-15,"Bramhall, Cheshire, England",Female,White,Straight,Na,/people/056/000063864/
Norma Shearer,ACTRESS,Marie Antoinette,FALSE,1939,1902-08-10,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Margaret Sullavan,ACTRESS,Three Comrades,FALSE,1939,1911-05-16,"Norfolk, VA",Female,White,Straight,Na,http://www.nndb.com/people/857/000118503/
Fay Bainter,ACTRESS IN A SUPPORTING ROLE,Jezebel,TRUE,1939,1891-12-07,"Los Angeles, CA",Female,White,Straight,Na,/people/074/000063882/
Beulah Bondi,ACTRESS IN A SUPPORTING ROLE,Of Human Hearts,FALSE,1939,1888-05-03,"Chicago, IL",Female,White,Na,Na,http://www.nndb.com/people/241/000130848/
Billie Burke,ACTRESS IN A SUPPORTING ROLE,Merrily We Live,FALSE,1939,1885-08-07,"Washington, DC",Female,White,Straight,Na,http://www.nndb.com/people/564/000056396/
Spring Byington,ACTRESS IN A SUPPORTING ROLE,You Can't Take It with You,FALSE,1939,1886-10-17,"Colorado Springs, CO",Female,White,Bisexual,Na,http://www.nndb.com/people/391/000109064/
Miliza Korjus,ACTRESS IN A SUPPORTING ROLE,The Great Waltz,FALSE,1939,1909-08-18,"Varsovie, Poland",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0466295/?ref_=fn_all_nme_1
Michael Curtiz,DIRECTING,Angels with Dirty Faces,FALSE,1939,1886-12-24,"Budapest, Hungary",Male,White,Straight,Na,/people/676/000032580/
Norman Taurog,DIRECTING,Boys Town,FALSE,1939,1899-02-23,"Chicago, IL",Male,White,Straight,Na,/people/544/000041421/
